ts,burner,total_received,total_deposited,total_swapped,total_burned
2026-09-05T23:59:59.000Z,EQAGPJMxJ73OLpHUgQhI5YeQe2ZuAuUQ-4f_zfN4rV2Fl6Jp,2.01,1.006124272,0.8575348,576.621112532
2026-09-06T23:59:59.000Z,EQAGPJMxJ73OLpHUgQhI5YeQe2ZuAuUQ-4f_zfN4rV2Fl6Jp,2.01,1.006124272,0.8575348,576.621112532
2026-09-07T23:59:59.000Z,EQAGPJMxJ73OLpHUgQhI5YeQe2ZuAuUQ-4f_zfN4rV2Fl6Jp,2.01,1.006124272,0.8575348,576.621112532
2026-09-08T23:59:59.000Z,EQAGPJMxJ73OLpHUgQhI5YeQe2ZuAuUQ-4f_zfN4rV2Fl6Jp,22.867711684,21.855783497,18.755827599,11748.956142974
2026-09-09T23:59:59.000Z,EQAGPJMxJ73OLpHUgQhI5YeQe2ZuAuUQ-4f_zfN4rV2Fl6Jp,57.8263855,56.794972341,48.729495322,28844.960739757
2026-09-09T23:59:59.000Z,EQDcjZDWvotoVE0X4HSdt2pR3b2sBZ4XikzSVSdPiqdQMLRK,37.980870176,35.457049662,30.431105177,17273.272944659
2026-09-10T23:59:59.000Z,EQAGPJMxJ73OLpHUgQhI5YeQe2ZuAuUQ-4f_zfN4rV2Fl6Jp,57.8263855,56.794972341,48.729495322,28844.960739757
2026-09-10T23:59:59.000Z,EQDcjZDWvotoVE0X4HSdt2pR3b2sBZ4XikzSVSdPiqdQMLRK,72.432650894,69.862992771,59.950588375,33529.519814461
2026-09-11T23:59:59.000Z,EQAGPJMxJ73OLpHUgQhI5YeQe2ZuAuUQ-4f_zfN4rV2Fl6Jp,57.8263855,56.794972341,48.729495322,28844.960739757
2026-09-11T23:59:59.000Z,EQDcjZDWvotoVE0X4HSdt2pR3b2sBZ4XikzSVSdPiqdQMLRK,108.434856367,105.81935367,90.790068193,50029.073874515
2026-09-12T23:59:59.000Z,EQAGPJMxJ73OLpHUgQhI5YeQe2ZuAuUQ-4f_zfN4rV2Fl6Jp,57.8263855,56.794972341,48.729495322,28844.960739757
2026-09-12T23:59:59.000Z,EQDcjZDWvotoVE0X4HSdt2pR3b2sBZ4XikzSVSdPiqdQMLRK,204.285293034,202.42847304,173.624499141,98587.171558217
2026-09-13T20:55:10.017Z,EQAGPJMxJ73OLpHUgQhI5YeQe2ZuAuUQ-4f_zfN4rV2Fl6Jp,57.8263855,56.794972341,48.729495322,28844.960739757
2026-09-13T20:55:10.017Z,EQDcjZDWvotoVE0X4HSdt2pR3b2sBZ4XikzSVSdPiqdQMLRK,272.350605735,268.928031921,230.593684038,127830.855378067
2026-09-14T21:53:19.412Z,EQAGPJMxJ73OLpHUgQhI5YeQe2ZuAuUQ-4f_zfN4rV2Fl6Jp,57.8263855,56.794972341,48.729495322,28844.960739757
